subject,activity,domain,acceleration_signal,signal_type,signal_dimension,function,axis,avg_value
1,walking,frequency,body,accelerometer,jerk,mean,x,-0.547348892435764
1,walking,frequency,body,accelerometer,jerk,mean,y,-0.507343617969859
1,walking,frequency,body,accelerometer,jerk,mean,z,-0.695305113832853
1,walking,frequency,body,accelerometer,jerk,std,x,-0.543979776127867
1,walking,frequency,body,accelerometer,jerk,std,y,-0.466251676533372
1,walking,frequency,body,accelerometer,jerk,std,z,-0.737861932680115
1,walking,frequency,body,accelerometer,jerk magnitude,mean,NA,-0.499075765624092
1,walking,frequency,body,accelerometer,jerk magnitude,std,NA,-0.541823079570029
1,walking,frequency,body,accelerometer,magnitude,mean,NA,-0.478448523354179
1,walking,frequency,body,accelerometer,magnitude,std,NA,-0.589710231217867
1,walking,frequency,body,accelerometer,NA,mean,x,-0.531895161258213
1,walking,frequency,body,accelerometer,NA,mean,y,-0.406435448904438
1,walking,frequency,body,accelerometer,NA,mean,z,-0.596411165253602
1,walking,frequency,body,accelerometer,NA,std,x,-0.553060616663401
1,walking,frequency,body,accelerometer,NA,std,y,-0.390150939647061
1,walking,frequency,body,accelerometer,NA,std,z,-0.498583091676081
1,walking,frequency,body,gyroscope,jerk magnitude,mean,NA,-0.645970655298847
1,walking,frequency,body,gyroscope,jerk magnitude,std,NA,-0.685811262634006
1,walking,frequency,body,gyroscope,magnitude,mean,NA,-0.535002770337752
1,walking,frequency,body,gyroscope,magnitude,std,NA,-0.566576670397695
1,walking,frequency,body,gyroscope,NA,mean,x,-0.623219182311527
1,walking,frequency,body,gyroscope,NA,mean,y,-0.505309434070029
1,walking,frequency,body,gyroscope,NA,mean,z,-0.553529065425648
1,walking,frequency,body,gyroscope,NA,std,x,-0.708263420861671
1,walking,frequency,body,gyroscope,NA,std,y,-0.429825832648703
1,walking,frequency,body,gyroscope,NA,std,z,-0.650476162132565
1,walking,time,body,accelerometer,jerk,mean,x,0.0770930495126801
1,walking,time,body,accelerometer,jerk,mean,y,0.0165908438802305
1,walking,time,body,accelerometer,jerk,mean,z,-0.00910758730117003
1,walking,time,body,accelerometer,jerk,std,x,-0.524721922818732
1,walking,time,body,accelerometer,jerk,std,y,-0.470412403511239
1,walking,time,body,accelerometer,jerk,std,z,-0.717322274881844
1,walking,time,body,accelerometer,jerk magnitude,mean,NA,-0.545431612066571
1,walking,time,body,accelerometer,jerk magnitude,std,NA,-0.515922167555159
1,walking,time,body,accelerometer,magnitude,mean,NA,-0.453632943768818
1,walking,time,body,accelerometer,magnitude,std,NA,-0.497096402038329
1,walking,time,body,accelerometer,NA,mean,x,0.265696920582133
1,walking,time,body,accelerometer,NA,mean,y,-0.0182981725176081
1,walking,time,body,accelerometer,NA,mean,z,-0.10784573454611
1,walking,time,body,accelerometer,NA,std,x,-0.545795331328326
1,walking,time,body,accelerometer,NA,std,y,-0.367716218227378
1,walking,time,body,accelerometer,NA,std,z,-0.502645746562824
1,walking,time,body,gyroscope,jerk,mean,x,-0.0971120197265994
1,walking,time,body,gyroscope,jerk,mean,y,-0.0417164808293948
1,walking,time,body,gyroscope,jerk,mean,z,-0.0471393985477522
1,walking,time,body,gyroscope,jerk,std,x,-0.637812687210375
1,walking,time,body,gyroscope,jerk,std,y,-0.634472244550432
1,walking,time,body,gyroscope,jerk,std,z,-0.664591977786455
1,walking,time,body,gyroscope,jerk magnitude,mean,NA,-0.639517432642651
1,walking,time,body,gyroscope,jerk magnitude,std,NA,-0.652050770910663
1,walking,time,body,gyroscope,magnitude,mean,NA,-0.475404785802305
1,walking,time,body,gyroscope,magnitude,std,NA,-0.499839593745821
1,walking,time,body,gyroscope,NA,mean,x,-0.0208764064320173
1,walking,time,body,gyroscope,NA,mean,y,-0.0880722729400576
1,walking,time,body,gyroscope,NA,mean,z,0.0862641666597983
1,walking,time,body,gyroscope,NA,std,x,-0.686555715201729
1,walking,time,body,gyroscope,NA,std,y,-0.450979810499568
1,walking,time,body,gyroscope,NA,std,z,-0.597496136795101
1,walking,time,gravity,accelerometer,magnitude,mean,NA,-0.453632943768818
1,walking,time,gravity,accelerometer,magnitude,std,NA,-0.497096402038329
1,walking,time,gravity,accelerometer,NA,mean,x,0.744867411573487
1,walking,time,gravity,accelerometer,NA,mean,y,-0.0825562579855908
1,walking,time,gravity,accelerometer,NA,mean,z,0.072339870389049
1,walking,time,gravity,accelerometer,NA,std,x,-0.959859435936599
1,walking,time,gravity,accelerometer,NA,std,y,-0.951150627458213
1,walking,time,gravity,accelerometer,NA,std,z,-0.925817590867435
2,standing,frequency,body,accelerometer,jerk,mean,x,-0.561682049622185
2,standing,frequency,body,accelerometer,jerk,mean,y,-0.50890379901457
2,standing,frequency,body,accelerometer,jerk,mean,z,-0.715745330403973
2,standing,frequency,body,accelerometer,jerk,std,x,-0.595105612895033
2,standing,frequency,body,accelerometer,jerk,std,y,-0.509147543673841
2,standing,frequency,body,accelerometer,jerk,std,z,-0.767087015496689
2,standing,frequency,body,accelerometer,jerk magnitude,mean,NA,-0.509746432970861
2,standing,frequency,body,accelerometer,jerk magnitude,std,NA,-0.518800797709272
2,standing,frequency,body,accelerometer,magnitude,mean,NA,-0.514569861316887
2,standing,frequency,body,accelerometer,magnitude,std,NA,-0.646662308457285
2,standing,frequency,body,accelerometer,NA,mean,x,-0.57377091142947
2,standing,frequency,body,accelerometer,NA,mean,y,-0.432566581302351
2,standing,frequency,body,accelerometer,NA,mean,z,-0.630081222124834
2,standing,frequency,body,accelerometer,NA,std,x,-0.619788102803311
2,standing,frequency,body,accelerometer,NA,std,y,-0.464723862913245
2,standing,frequency,body,accelerometer,NA,std,z,-0.600678614835099
2,standing,frequency,body,gyroscope,jerk magnitude,mean,NA,-0.751615078360927
2,standing,frequency,body,gyroscope,jerk magnitude,std,NA,-0.744194981440397
2,standing,frequency,body,gyroscope,magnitude,mean,NA,-0.699742945221854
2,standing,frequency,body,gyroscope,magnitude,std,NA,-0.725310337688742
2,standing,frequency,body,gyroscope,NA,mean,x,-0.638717694593046
2,standing,frequency,body,gyroscope,NA,mean,y,-0.722068978635762
2,standing,frequency,body,gyroscope,NA,mean,z,-0.601594889654305
2,standing,frequency,body,gyroscope,NA,std,x,-0.734588540182119
2,standing,frequency,body,gyroscope,NA,std,y,-0.72716774102649
2,standing,frequency,body,gyroscope,NA,std,z,-0.683114494539735
2,standing,time,body,accelerometer,jerk,mean,x,0.0785353156747351
2,standing,time,body,accelerometer,jerk,mean,y,0.00708771249764901
2,standing,time,body,accelerometer,jerk,mean,z,0.000755760748377483
2,standing,time,body,accelerometer,jerk,std,x,-0.557809603123841
2,standing,time,body,accelerometer,jerk,std,y,-0.491875889831788
2,standing,time,body,accelerometer,jerk,std,z,-0.741885388311258
2,standing,time,body,accelerometer,jerk magnitude,mean,NA,-0.58777744543543
2,standing,time,body,accelerometer,jerk magnitude,std,NA,-0.512115278415232
2,standing,time,body,accelerometer,magnitude,mean,NA,-0.535281800541722
2,standing,time,body,accelerometer,magnitude,std,NA,-0.552812545643709
2,standing,time,body,accelerometer,NA,mean,x,0.273113115788079
2,standing,time,body,accelerometer,NA,mean,y,-0.0191323183174834
